song_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,num_samples,duration,duration_ms,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence,song_duration_ms,popularity,explicit
56107c5d-3d05-4cc2-ae56-018b729c963d,0.41279,0.893,0.83,0.14626,5,0.2315,-4.703,1,0.4742,103.359,3,0.652,5261855,238.63287,238632.0,0.0,235.4039,0.717,0.021,0.99,0.891,238614,77,1
0f6610d5-7d84-4134-b155-cc51afc7e964,0.50521,0.863,0.807,0.25532,9,0.3161,-6.606,0,0.511,103.359,6,0.551,5314079,241.00133,241001.0,0.0,231.45651,0.717,0.022,0.995,0.896,162637,60,1
09ded865-5861-4827-b2c1-a1e6c4ee4d1e,0.36085,0.877,0.867,0.31463,5,0.1956,-4.535,1,0.5955,103.359,4,0.694,2522655,114.40612,,0.1161,112.94186,0.717,0.029,0.993,0.894,113400,55,1
5a700df5-2559-4eb8-93d5-a5b6d6998d81,0.42085,0.932,0.961,0.25348,9,0.315,-8.177,0,0.5675,123.047,7,0.678,2730527,123.83342,,0.0,121.8351,0.785,0.016,0.993,0.893,123809,8,1
e95807d3-cc2a-4b21-9fa2-f092b559a321,0.47163,0.621,0.795,0.16417,2,0.2659,-7.541,1,0.4724,80.75,4,0.565,5591583,253.58653,253586.0,0.0,239.65315,0.604,0.019,0.987,0.888,253561,66,0
8d51ce7f-af77-4014-8083-3a3d36c21499,0.44476,0.785,0.896,0.24814,9,0.4,-8.926,0,0.5847,135.999,3,0.693,5735967,260.13455,260134.0,1.11456,246.43338,0.72,0.013,0.991,0.892,260111,74,1
77c13270-9ca5-4230-a6fe-dac1937518cc,0.40984,0.92,0.912,0.29823,9,0.2906,-5.867,0,0.5846,123.047,6,0.669,3243551,147.09982,,0.27864,145.61234,0.785,0.014,0.992,0.893,147054,28,1
7f5ef064-5dc6-4f52-b338-dcfed7df2e0a,0.53336,0.739,0.789,0.30002,5,0.3433,-7.51,1,0.4245,143.555,7,0.689,6539807,296.5899,296589.0,0.13932,295.4507,0.682,0.013,0.987,0.888,296568,64,1
be7711aa-2245-4f41-9073-9dcf27b62311,0.45213,0.835,0.891,0.23849,5,0.4,-9.018,1,0.5982,112.347,3,0.717,6421023,291.20285,291202.0,0.04644,284.81595,0.762,0.015,0.996,0.896,308820,63,0
18a64fe7-3c8c-44af-b0bb-a54fa2a17ba2,0.4129,0.876,0.873,0.28452,5,0.2651,-6.949,1,0.577,103.359,4,0.695,4690944,212.74123,212741.0,0.1161,204.5678,0.717,0.02,0.995,0.895,275280,62,1
e868037d-b925-4a8c-84dc-dfc70da65fb6,0.43959,0.825,0.954,0.25206,9,0.3395,-6.385,0,0.563,135.999,6,0.704,3062303,138.87994,,0.30186,134.14168,0.72,0.019,0.994,0.894,138861,41,0
a0d1e2de-551b-4a33-8aba-426cd075dd16,0.4631,0.924,0.86,0.1588,5,0.3025,-7.789,1,0.5861,123.047,3,0.727,3483167,157.96677,,0.06966,156.38638,0.785,0.015,0.995,0.895,124285,24,1
b0612bd9-54c3-41ce-a137-ce4898087dfc,0.38047,0.649,0.92,0.27874,2,0.2641,-5.91,0,0.5982,151.999,3,0.731,7487007,339.5468,339546.0,0.0,333.8565,0.64,0.019,0.993,0.894,339506,41,0
e64e3d11-2101-4930-872c-7d45604c6bd6,0.43171,0.884,0.913,0.27027,5,0.3512,-6.631,1,0.5993,107.666,4,0.712,4415007,200.22707,200227.0,0.78948,199.76128,0.738,0.02,0.99,0.891,200221,67,1
1216849f-3b9e-4dbe-bc45-c1e0102271b4,0.49337,0.825,0.843,0.24075,5,0.4,-7.328,1,0.5504,135.999,3,0.735,4186655,189.87099,189870.0,0.0,185.78287,0.72,0.012,0.995,0.895,189853,65,1
39b90831-0286-4f86-8128-5eab5afa3f03,0.43661,0.838,0.936,0.21795,9,0.3388,-6.727,0,0.59,92.285,3,0.61,2954783,134.00375,,0.06966,132.93423,0.661,0.023,0.993,0.894,122535,7,1
bbc525e7-34ae-4988-b26e-ece3f7ab9835,0.40229,0.697,0.938,0.30613,9,0.301,-9.274,0,0.4965,151.999,3,0.734,3457567,156.80576,,0.4644,153.62321,0.64,0.017,0.99,0.891,156800,52,1
01174e48-75c8-4b5f-99f2-cf56609ba222,0.44682,0.697,0.891,0.2291,9,0.4,-7.21,0,0.5676,151.999,6,0.725,4731904,214.59882,214598.0,0.1161,208.79382,0.64,0.011,0.99,0.891,214466,64,1
b31b29cd-c753-4833-aa88-9338235c0aa8,0.46269,0.846,0.88,0.2779,9,0.4,-7.622,0,0.5204,95.703,7,0.605,2692639,122.11515,,0.09288,121.23138,0.679,0.018,0.993,0.893,122075,52,1
57a3e4ca-2a9e-4e09-8578-0ce5c4e1bf62,0.38163,0.921,0.927,0.26125,9,0.2704,-7.942,0,0.5998,123.047,4,0.672,3443231,156.1556,,0.44118,152.57832,0.785,0.009,0.991,0.891,156140,45,1
9d00cf84-2449-4c7b-92be-383ae8aaf71e,0.44379,0.827,0.907,0.20027,5,0.4,-6.116,1,0.5977,135.999,7,0.77,4925440,223.37596,223375.0,0.2322,219.49823,0.72,0.009,0.998,0.898,234373,67,0
c84c087b-472b-46a7-8fb7-00a0f7ad5a33,0.50521,0.863,0.807,0.25532,9,0.3161,-6.606,0,0.511,103.359,6,0.551,5314079,241.00133,241001.0,0.0,231.45651,0.717,0.022,0.995,0.896,261543,70,1
74ab8be4-6581-425a-a905-36f7db080c58,0.56834,0.783,0.754,0.27606,5,0.4,-7.393,1,0.3302,95.703,4,0.549,7799327,353.71097,353710.0,0.0,342.77298,0.679,0.021,0.987,0.888,353697,61,1
3dc34868-ac11-473f-ba86-ded5608a854b,0.549,0.901,0.783,0.29019,5,0.4,-8.545,1,0.4393,123.047,3,0.64,5595679,253.7723,253772.0,0.0,251.8204,0.785,0.01,0.995,0.895,209836,66,1
16e00ae7-834c-472c-92b4-022be932093e,0.41684,0.914,0.925,0.26897,11,0.4,-8.537,0,0.4439,117.454,5,0.66,3919391,177.75015,177750.0,1.09134,177.65587,0.787,0.017,0.985,0.886,290133,58,1
1c2a0197-0413-4b71-8d94-ab1572e3e0f9,0.48554,0.638,0.776,0.3424,9,0.2661,-6.376,0,0.4212,68.0,4,0.442,6412831,290.83133,290831.0,0.25542,282.00635,0.54,0.018,0.986,0.887,290791,70,1
ea63bcc9-7748-4202-8de0-9bcae245529a,0.40139,0.877,0.925,0.26483,9,0.2887,-6.938,0,0.5418,99.384,4,0.622,3007007,136.3722,,0.27864,131.54105,0.697,0.03,0.992,0.893,116363,32,0
a5279bff-2476-4843-b0c4-0f8d55811d7b,0.39056,0.868,0.944,0.19824,2,0.3022,-6.814,0,0.5563,123.047,5,0.675,3024415,137.16168,137161.0,0.0,136.9745,0.785,0.02,0.989,0.89,219960,56,1
ce481f81-5582-41e8-96c8-19261e121ec5,0.41033,0.911,0.962,0.27925,9,0.3062,-9.557,0,0.5708,129.199,3,0.692,3076639,139.5301,,0.0,134.30421,0.754,0.009,0.991,0.892,139521,8,1
2c709058-c8d5-4133-810b-e281b53f3c65,0.4717,0.792,0.894,0.215,5,0.3525,-5.553,1,0.577,143.555,4,0.783,3157535,143.19887,,0.04644,141.75781,0.682,0.019,0.994,0.895,197147,11,1
776ab838-50d5-4188-bf37-f51d5293aa74,0.52143,0.855,0.803,0.2405,5,0.3512,-5.877,1,0.4218,129.199,4,0.675,4173343,189.26726,189267.0,9.21832,185.9454,0.754,0.025,0.989,0.89,189229,66,1
a9dac279-4d3e-4381-a6c7-cd76ae28c0e3,0.42178,0.776,0.904,0.29443,9,0.2996,-6.893,0,0.5693,89.103,4,0.596,3175967,144.03477,,0.0,139.25008,0.646,0.037,0.981,0.883,144000,46,1
0b222dbd-aab6-46ae-9ecf-58940741f79b,0.31841,0.794,0.892,0.30858,9,0.167,-4.878,0,0.5986,95.703,3,0.608,6670879,302.5342,302534.0,2.22912,302.46313,0.679,0.017,0.993,0.894,382262,59,1
c439e89c-60f9-4346-934d-5be3d849cfe6,0.40209,0.898,0.802,0.30469,2,0.1853,-5.475,0,0.5049,129.199,4,0.599,5164575,234.22108,234221.0,0.0,232.26921,0.754,0.009,0.99,0.891,234175,60,1
55fe8741-16c0-4729-8f41-32b1a04afeb2,0.44106,0.808,0.758,0.28654,9,0.1988,-5.645,0,0.3595,135.999,5,0.563,8515103,386.17245,386172.0,0.6966,379.50693,0.72,0.013,0.99,0.891,203893,68,1
