song_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,num_samples,duration,duration_ms,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence,song_duration_ms,popularity,explicit
38fcebd3-1368-4afb-afe2-b7edaf8c29b0,0.55126,0.795,0.774,0.31009,0,0.4,-11.171,1,0.4645,99.384,5,0.58,6470656,293.4538,,0.20898,268.5388,0.697,0.03,0.991,0.892,293453,80,0
020d124a-eeb4-4c3a-8f6b-9f1f7dddeb5c,0.43216,0.905,0.922,0.24982,0,0.3804,-9.136,1,0.5453,112.347,4,0.723,4726303,214.3448,,2.99537,208.00435,0.762,0.016,0.991,0.892,230373,81,0
1a0ef1b8-5fe7-41dd-8ccf-9e24ba3e9fb7,0.42842,0.849,0.925,0.26135,9,0.3472,-7.739,0,0.5321,95.703,6,0.614,4546784,206.20335,,0.18576,202.06004,0.679,0.011,0.99,0.891,214320,71,0
a507334a-6a2a-4a4a-8138-1ecfc3f9b205,0.47935,0.76,0.857,0.28526,0,0.4,-8.142,1,0.5862,143.555,7,0.766,5534239,250.9859,,0.3483,249.56807,0.682,0.013,0.99,0.891,250960,61,1
f7f0aa07-995a-4d8d-897b-70bfeef59109,0.50558,0.821,0.824,0.33235,9,0.4,-9.603,0,0.5493,135.999,4,0.639,7102464,322.1072,,0.27864,318.1366,0.72,0.031,0.98,0.882,322000,77,0
e50569aa-5590-4304-9f99-7556ae55dcfa,0.36166,0.892,0.934,0.29066,9,0.2573,-8.887,0,0.5086,103.359,4,0.632,5309983,240.81557,,0.0,238.02776,0.717,0.015,0.992,0.893,240776,55,1
e744a972-ace7-4566-b09a-7c89d11bc21e,0.36166,0.892,0.934,0.29066,9,0.2573,-8.887,0,0.5086,103.359,4,0.632,5309983,240.81557,,0.0,238.02776,0.717,0.015,0.992,0.893,253746,66,0
8eeca29a-988d-4fa3-af73-32067ca27358,0.49318,0.884,0.849,0.17616,5,0.4,-7.019,1,0.5797,99.384,4,0.665,3824159,173.43124,,0.20898,170.87566,0.697,0.018,0.992,0.893,198533,70,0
6159203f-117e-46db-a165-6caa967cc46d,0.3268,0.686,0.917,0.32065,9,0.1971,-7.635,0,0.4379,151.999,3,0.73,3789824,171.8741,,0.20898,166.8818,0.64,0.015,0.991,0.892,234146,75,0
0e42cc1b-821e-4faf-8401-c94dfe8c3280,0.45242,0.934,0.902,0.26663,9,0.373,-8.446,0,0.5415,112.347,4,0.644,8323615,377.48822,,1.53252,363.22974,0.762,0.013,0.991,0.892,287986,60,0
ea2ceaee-b5b5-4632-a288-9d3e7b79af5d,0.47274,0.816,0.863,0.29022,0,0.4,-9.296,1,0.5856,135.999,5,0.758,5169695,234.4533,,0.18576,232.5014,0.72,0.011,0.99,0.891,237840,56,1
bd0c592a-52e6-4081-a0b9-789170e08bea,0.3441,0.772,0.924,0.26968,5,0.2287,-8.168,1,0.5494,83.354,6,0.664,4678175,212.16212,,0.44118,210.67465,0.617,0.013,0.994,0.895,212146,60,0
